countyfips,date,mobility,yoy_change,year,month,yearmonth,day,Date
51059,2021-07-24 00:00:00,-267.5,0.4819944598337951,2021,07,2021-07,24,2021-07-24
51061,2021-07-24 00:00:00,432.0,1.028169014084507,2021,07,2021-07,24,2021-07-24
51107,2021-07-24 00:00:00,-264.0,-0.5221719457013574,2021,07,2021-07,24,2021-07-24
51153,2021-07-24 00:00:00,28.5,-1.5428571428571427,2021,07,2021-07,24,2021-07-24
51187,2021-07-24 00:00:00,129.0,-0.4870775347912525,2021,07,2021-07,24,2021-07-24
51510,2021-07-24 00:00:00,-408.0,1.2356164383561645,2021,07,2021-07,24,2021-07-24
51610,2021-07-24 00:00:00,-129.0,-0.5798045602605864,2021,07,2021-07,24,2021-07-24
51683,2021-07-24 00:00:00,8.5,-1.125925925925926,2021,07,2021-07,24,2021-07-24
11001,2021-07-25 00:00:00,-226.5,-0.3472622478386167,2021,07,2021-07,25,2021-07-25
24009,2021-07-25 00:00:00,26.0,-1.1375661375661377,2021,07,2021-07,25,2021-07-25
24017,2021-07-25 00:00:00,-530.0,0.016299137104506256,2021,07,2021-07,25,2021-07-25
24021,2021-07-25 00:00:00,148.0,-1.5016949152542374,2021,07,2021-07,25,2021-07-25
24031,2021-07-25 00:00:00,258.0,-2.4293628808864263,2021,07,2021-07,25,2021-07-25
24033,2021-07-25 00:00:00,-529.0,0.46740638002773927,2021,07,2021-07,25,2021-07-25
24037,2021-07-25 00:00:00,92.5,60.666666666666664,2021,07,2021-07,25,2021-07-25
51013,2021-07-25 00:00:00,-500.5,1.5087719298245612,2021,07,2021-07,25,2021-07-25
51059,2021-07-25 00:00:00,-362.5,0.9863013698630136,2021,07,2021-07,25,2021-07-25
51061,2021-07-25 00:00:00,381.0,-2.2114467408585057,2021,07,2021-07,25,2021-07-25
51107,2021-07-25 00:00:00,-364.0,-0.33211009174311923,2021,07,2021-07,25,2021-07-25
51153,2021-07-25 00:00:00,-92.5,-0.47443181818181823,2021,07,2021-07,25,2021-07-25
51187,2021-07-25 00:00:00,132.0,-0.47410358565737054,2021,07,2021-07,25,2021-07-25
51510,2021-07-25 00:00:00,-425.0,1.316076294277929,2021,07,2021-07,25,2021-07-25
51610,2021-07-25 00:00:00,-133.0,-0.565359477124183,2021,07,2021-07,25,2021-07-25
51683,2021-07-25 00:00:00,6.0,-0.9069767441860466,2021,07,2021-07,25,2021-07-25
11001,2021-07-26 00:00:00,-85.5,-0.7543103448275862,2021,07,2021-07,26,2021-07-26
24009,2021-07-26 00:00:00,87.5,-0.4426751592356688,2021,07,2021-07,26,2021-07-26
