countyfips,countyname,cityid,cityname,czname,statename,statefips,stateabbrev,county_pop2019,ZIP,USPS_ZIP_PREF_CITY,RES_RATIO_x,BUS_RATIO_x,OTH_RATIO,TOT_RATIO_x,TOT_RATIO_y,RES_RATIO_y,BUS_RATIO_y,nearest_city,distance
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1366,PETERSHAM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,93.78838239744891
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1368,ROYALSTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,98.12684724778303
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1420,FITCHBURG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,66.88288244688334
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1430,ASHBURNHAM,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,78.05281127314727
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1434,DEVENS,0.6334405144694534,0.8585858585858586,0.62,0.7340425531914894,0.7340425531914894,0.6334405144694534,0.8585858585858586,Boston,49.437707200435106
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1436,BALDWINVILLE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,88.36174695388497
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1438,EAST TEMPLETON,1.0,0.0,1.0,1.0,1.0,1.0,0.0,Boston,82.74648725928239
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1440,GARDNER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,80.03248003090626
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1451,HARVARD,0.9888423988842399,1.0,1.0,0.990031152647975,0.990031152647975,0.9888423988842399,1.0,Boston,44.565871662350034
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1452,HUBBARDSTON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,78.67165853321832
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1453,LEOMINSTER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,60.3461191554439
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1462,LUNENBURG,0.9987025023169601,1.0,1.0,0.9987908101571947,0.9987908101571947,0.9987025023169601,1.0,Boston,59.52063057939225
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1467,STILL RIVER,0.0,0.0,1.0,1.0,1.0,0.0,0.0,Boston,47.32671552501015
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1468,TEMPLETON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,85.13532233662708
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1473,WESTMINSTER,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,72.60891815312442
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1475,WINCHENDON,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,88.4515629657687
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1501,AUBURN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Boston,67.06367945468305
25027.0,Worcester,,,Boston,Massachusetts,25.0,MA,830622.0,1503,BERLIN,1.0,0.9880239520958084,1.0,0.9991345737775854,0.9991345737775854,1.0,0.9880239520958084,Boston,47.195751484455606
